country1,country2,count,x,y,xend,yend,weight,origin
South Africa,Canada,1,25.08773292,-29.00105188,-98.31606295,61.37312602,0.166666667,From Africa
South Africa,Cuba,1,25.08773292,-29.00105188,-79.03330319,21.62469202,0.166666667,From Africa
South Africa,France,2,25.08773292,-29.00105188,-2.77052452,42.17160095,0.333333333,From Africa
South Africa,Germany,1,25.08773292,-29.00105188,10.38154835,51.10621317,0.166666667,From Africa
South Africa,India,1,25.08773292,-29.00105188,79.61221374,22.88736601,0.166666667,From Africa
South Africa,Italy,1,25.08773292,-29.00105188,12.07213695,42.78624892,0.166666667,From Africa
South Africa,Nepal,1,25.08773292,-29.00105188,83.91625313,28.2479223,0.166666667,From Africa
South Africa,Netherlands,3,25.08773292,-29.00105188,5.21412054,52.06812055,0.5,From Africa
South Africa,New Zealand,1,25.08773292,-29.00105188,171.4701357,-41.82547243,0.166666667,From Africa
South Africa,Portugal,1,25.08773292,-29.00105188,-8.59208959,39.58567981,0.166666667,From Africa
South Africa,Spain,2,25.08773292,-29.00105188,-3.65680212,40.23690054,0.333333333,From Africa
South Africa,Sudan,1,25.08773292,-29.00105188,29.93938333,15.9867575,0.166666667,From Africa
South Africa,Sweden,2,25.08773292,-29.00105188,16.75289398,62.78917387,0.333333333,From Africa
South Africa,UK,1,25.08773292,-29.00105188,-2.8864099,54.14678254,0.166666667,From Africa
South Africa,Ukraine,1,25.08773292,-29.00105188,31.38585497,48.99724978,0.166666667,From Africa
South Africa,USA,1,25.08773292,-29.00105188,-112.4931067,45.68715961,0.166666667,From Africa
Spain,Australia,1,-3.65680212,40.23690054,134.4925719,-25.73236473,0.166666667,From Overseas
Spain,Cameroon,3,-3.65680212,40.23690054,12.73708339,5.69312773,0.5,From Overseas
Sweden,Argentina,1,16.75289398,62.78917387,-65.17821792,-35.38269629,0.166666667,From Overseas
Sweden,Australia,1,16.75289398,62.78917387,134.4925719,-25.73236473,0.166666667,From Overseas
Sweden,Brazil,1,16.75289398,62.78917387,-53.093972,-10.78278082,0.166666667,From Overseas
Sweden,Canada,2,16.75289398,62.78917387,-98.31606295,61.37312602,0.333333333,From Overseas
Sweden,Cuba,1,16.75289398,62.78917387,-79.03330319,21.62469202,0.166666667,From Overseas
Sweden,Czech Republic,1,16.75289398,62.78917387,15.3141031,49.73244821,0.166666667,From Overseas
Sweden,France,2,16.75289398,62.78917387,-2.77052452,42.17160095,0.333333333,From Overseas
Sweden,Germany,1,16.75289398,62.78917387,10.38154835,51.10621317,0.166666667,From Overseas
Sweden,India,1,16.75289398,62.78917387,79.61221374,22.88736601,0.166666667,From Overseas
Sweden,Italy,1,16.75289398,62.78917387,12.07213695,42.78624892,0.166666667,From Overseas
Sweden,Nepal,1,16.75289398,62.78917387,83.91625313,28.2479223,0.166666667,From Overseas
Sweden,Netherlands,4,16.75289398,62.78917387,5.21412054,52.06812055,0.666666667,From Overseas
Sweden,New Zealand,1,16.75289398,62.78917387,171.4701357,-41.82547243,0.166666667,From Overseas
Sweden,Portugal,1,16.75289398,62.78917387,-8.59208959,39.58567981,0.166666667,From Overseas
Sweden,South Africa,4,16.75289398,62.78917387,25.08773292,-29.00105188,0.666666667,From Overseas
Sweden,Spain,1,16.75289398,62.78917387,-3.65680212,40.23690054,0.166666667,From Overseas
Sweden,Sri Lanka,1,16.75289398,62.78917387,80.7035495,7.61573833,0.166666667,From Overseas
Sweden,UK,2,16.75289398,62.78917387,-2.8864099,54.14678254,0.333333333,From Overseas
Sweden,Ukraine,1,16.75289398,62.78917387,31.38585497,48.99724978,0.166666667,From Overseas
Sweden,USA,1,16.75289398,62.78917387,-112.4931067,45.68715961,0.166666667,From Overseas
Tanzania,South Africa,1,34.81314561,-6.27505027,25.08773292,-29.00105188,0.166666667,From Africa
Tanzania,Sweden,2,34.81314561,-6.27505027,16.75289398,62.78917387,0.333333333,From Africa
Tanzania,UK,6,34.81314561,-6.27505027,-2.8864099,54.14678254,1,From Africa
UK,Australia,1,-2.8864099,54.14678254,134.4925719,-25.73236473,0.166666667,From Overseas
UK,Ethiopia,4,-2.8864099,54.14678254,39.60055108,8.62295174,0.666666667,From Overseas
UK,Finland,3,-2.8864099,54.14678254,26.27098883,64.49528534,0.5,From Overseas
UK,France,1,-2.8864099,54.14678254,-2.77052452,42.17160095,0.166666667,From Overseas
UK,Kenya,5,-2.8864099,54.14678254,37.79622573,0.59808146,0.833333333,From Overseas
UK,Mozambique,3,-2.8864099,54.14678254,35.53752578,-17.27037614,0.5,From Overseas
UK,Netherlands,1,-2.8864099,54.14678254,5.21412054,52.06812055,0.166666667,From Overseas
UK,Portugal,1,-2.8864099,54.14678254,-8.59208959,39.58567981,0.166666667,From Overseas
UK,South Africa,4,-2.8864099,54.14678254,25.08773292,-29.00105188,0.666666667,From Overseas
UK,Sweden,2,-2.8864099,54.14678254,16.75289398,62.78917387,0.333333333,From Overseas
UK,Tanzania,5,-2.8864099,54.14678254,34.81314561,-6.27505027,0.833333333,From Overseas
UK,Zimbabwe,1,-2.8864099,54.14678254,29.85188462,-19.00253671,0.166666667,From Overseas
USA,Canada,1,-112.4931067,45.68715961,-98.31606295,61.37312602,0.166666667,From Overseas
USA,France,3,-112.4931067,45.68715961,-2.77052452,42.17160095,0.5,From Overseas
USA,Malawi,1,-112.4931067,45.68715961,34.2899078,-13.21722587,0.166666667,From Overseas
USA,Mali,2,-112.4931067,45.68715961,-3.53907938,17.34416278,0.333333333,From Overseas
USA,UK,1,-112.4931067,45.68715961,-2.8864099,54.14678254,0.166666667,From Overseas
